All by-Identity Ungapped Fragments (Hits based approach)
[Abr.98/Apr.2010/Dec.2011 -- <ortrelles@uma.es>
SeqX filename        : atr_e1.fasta
SeqY filename        : gam_e4.fasta
SeqX name            : atr_e1
SeqY name            : gam_e4
SeqX length          : 1000000
SeqY length          : 1000000
Min.fragment.length  : 200
Min.Identity         : 40
Tot Hits (seeds)     : 24581130
Tot Hits (seeds) used: 24581111
Total fragments      : 2
========================================================
Total CSB: 0
========================================================
Type,xStart,yStart,xEnd,yEnd,strand(f/r),block,length,score,ident,similarity,%ident,SeqX,SeqY
Frag,559167,409684,559481,409998,f,0,315,548,226,0.43,0.72,0,0
